ID_TICKET,ID_CAJA,CURP,ID_SUCURSAL,FECHA,HORA,CLIENTE,NO_PRODUCTOS,TIPO_PAGO,TOTAL_COMPRA
110,33,MAEP901211MGTCNA73,7,1/14/2015,01:26,Cliente0065,17,tarjeta,389
166,71,SAMC711103FGTWEH64,7,6/17/2012,08:40,Cliente0066,18,efectivo,264
297,4,TACM870706MVZNRA14,8,05/04/2012,11:04,Cliente0067,2,tarjeta,100
810,74,BETL920711FDGRWA64,1,6/19/2016,17:24,Cliente0068,6,efectivo,335
576,76,COHJ760326MDFSUU07,10,12/07/2013,03:27,Cliente0069,8,tarjeta,200
935,92,MACK750122MCLCRI37,11,5/18/2016,23:21,Cliente0070,7,efectivo,147
441,30,EBHL720222MCLBAA97,1,04/04/2014,04:26,Cliente0071,12,tarjeta,292
972,65,FAJJ841022MBSLAU69,13,11/14/2015,19:32,Cliente0072,5,efectivo,94
370,57,KEEC990619MQTHDO55,14,6/27/2012,20:28,Cliente0073,7,tarjeta,336
893,19,DABR930520MPLRIA38,8,11/29/2011,02:13,Cliente0074,4,efectivo,32
994,25,DUUS830112FTSIRT54,16,7/16/2011,03:29,Cliente0075,9,tarjeta,13.5
234,39,TRPL890731GDFUEA46,17,4/24/2012,01:01,Cliente0076,10,efectivo,261
730,31,FESJ871216MBCRHE05,10,01/06/2014,00:22,Cliente0077,18,tarjeta,236
823,41,CRFB880126FPLUEA78,19,3/25/2011,12:00,Cliente0078,12,efectivo,345
550,67,PACA700821FGTULN20,20,05/12/2016,19:43,Cliente0079,1,tarjeta,8
236,16,HUVR861220MTCGEO09,1,5/31/2016,15:35,Cliente0080,3,efectivo,63
246,33,HABA820225FTLRIL45,2,02/03/2017,03:45,Cliente0081,16,tarjeta,156
663,98,CACA880301FCHMRU20,14,9/15/2018,19:16,Cliente0082,9,efectivo,114
493,90,BUBM970516FOCMRE84,4,5/25/2020,17:19,Cliente0083,6,tarjeta,150
599,53,SAMC711103FGTWEH64,5,1/31/2015,11:12,Cliente0084,11,efectivo,145
764,91,SHSS960626FGRECI13,8,1/17/2014,22:15,Cliente0085,22,tarjeta,578
518,27,SMDH870821NDFAUA60,7,3/26/2011,10:32,Cliente0086,11,efectivo,850
424,57,STHR841219FTLAAA64,8,09/06/2018,08:49,Cliente0087,8,tarjeta,317.5
712,29,KABH790308MBSROA03,5,12/06/2012,07:27,Cliente0088,12,efectivo,246
904,15,GIWG820104FNLLAE76,10,07/04/2017,10:03,Cliente0089,15,tarjeta,719
614,79,BETL920711FDGRWA64,11,07/05/2015,21:25,Cliente0090,10,efectivo,170
336,50,DRKR870309MTCOIO34,5,10/25/2016,08:30,Cliente0091,8,tarjeta,160
922,87,HERS800926FCHBUT83,13,05/07/2012,15:17,Cliente0092,3,efectivo,105
225,22,ARWJ970404MQTROO60,14,10/22/2013,06:42,Cliente0093,5,tarjeta,75
556,37,CRDW760222FBSIEA91,2,1/13/2019,20:24,Cliente0094,9,efectivo,145
395,29,COGD820217MOCTRO55,16,10/28/2015,20:09,Cliente0095,4,tarjeta,60
272,37,DISG740707FSLLWW28,17,4/16/2015,22:16,Cliente0096,8,efectivo,64
442,72,FAIG991004MSPRTE27,1,9/13/2013,18:01,Cliente0097,8,tarjeta,154
892,88,OSKC980330BYNOUO94,19,9/26/2012,09:51,Cliente0098,4,efectivo,60
