ID_TICKET,ID_CAJA,CURP,ID_SUCURSAL,TIME_STAMP,CLIENTE,NO_PRODUCTOS,TIPO_PAGO,TOTAL_COMPRA
65,33,MAEP901211MGTCNA73,6,0:05:00,Cliente0065,8,tarjeta,7.01
66,71,SAMC711103FGTWEH64,7,0:41:00,Cliente0066,7,efectivo,6.99
67,4,TACM870706MVZNRA14,8,0:44:00,Cliente0067,7,tarjeta,6.19
68,74,BETL920711FDGRWA64,9,0:20:00,Cliente0068,9,efectivo,8.63
69,76,COHJ760326MDFSUU07,10,0:40:00,Cliente0069,7,tarjeta,8.28
70,92,MACK750122MCLCRI37,11,0:38:00,Cliente0070,1,efectivo,3.17
71,30,EBHL720222MCLBAA97,12,0:01:00,Cliente0071,2,tarjeta,2.84
72,65,FAJJ841022MBSLAU69,13,0:43:00,Cliente0072,3,efectivo,3.93
73,57,KEEC990619MQTHDO55,14,0:29:00,Cliente0073,6,tarjeta,9.6
74,19,DABR930520MPLRIA38,15,0:17:00,Cliente0074,6,efectivo,3.16
75,25,DUUS830112FTSIRT54,16,0:57:00,Cliente0075,9,tarjeta,7.18
76,39,TRPL890731GDFUEA46,17,0:09:00,Cliente0076,4,efectivo,2.96
77,31,FESJ871216MBCRHE05,18,0:57:00,Cliente0077,7,tarjeta,2.07
78,41,CRFB880126FPLUEA78,19,0:11:00,Cliente0078,1,efectivo,4.43
79,67,PACA700821FGTULN20,20,0:16:00,Cliente0079,3,tarjeta,8.28
80,16,HUVR861220MTCGEO09,1,0:19:00,Cliente0080,8,efectivo,1.62
81,33,HABA820225FTLRIL45,2,0:56:00,Cliente0081,9,tarjeta,9.66
82,98,CACA880301FCHMRU20,3,0:17:00,Cliente0082,4,efectivo,4.48
83,90,BUBM970516FOCMRE84,4,0:22:00,Cliente0083,8,tarjeta,5.26
84,53,SAMC711103FGTWEH64,5,0:20:00,Cliente0084,7,efectivo,7.5
85,91,SHSS960626FGRECI13,6,0:15:00,Cliente0085,10,tarjeta,5.39
86,27,SMDH870821NDFAUA60,7,0:36:00,Cliente0086,7,efectivo,8.78
87,57,STHR841219FTLAAA64,8,0:03:00,Cliente0087,2,tarjeta,2.46
88,29,KABH790308MBSROA03,9,0:02:00,Cliente0088,6,efectivo,1.57
89,15,GIWG820104FNLLAE76,10,0:07:00,Cliente0089,5,tarjeta,6.25
90,79,BETL920711FDGRWA64,11,0:49:00,Cliente0090,1,efectivo,3.03
91,50,DRKR870309MTCOIO34,12,0:14:00,Cliente0091,9,tarjeta,9.96
92,87,HERS800926FCHBUT83,13,0:35:00,Cliente0092,5,efectivo,3.16
93,22,ARWJ970404MQTROO60,14,0:52:00,Cliente0093,8,tarjeta,9.65
94,37,CRDW760222FBSIEA91,15,0:27:00,Cliente0094,4,efectivo,3.86
95,29,COGD820217MOCTRO55,16,0:50:00,Cliente0095,6,tarjeta,9.2
96,37,DISG740707FSLLWW28,17,0:20:00,Cliente0096,10,efectivo,7.55
97,72,FAIG991004MSPRTE27,18,0:54:00,Cliente0097,2,tarjeta,1.19
98,88,OSKC980330BYNOUO94,19,0:46:00,Cliente0098,10,efectivo,6.09
99,92,HUPF751231FCMNAE48,20,0:09:00,Cliente0099,9,tarjeta,1.51
100,8,DETE720227MMCDRP41,1,0:07:00,Cliente0100,3,efectivo,4.43
101,14,THFT841224MQROII59,2,0:03:00,Cliente0101,10,tarjeta,8.61
102,3,DRND851022BTCIIA89,3,0:34:00,Cliente0102,4,efectivo,6.49
103,90,FESJ871216MBCRHE05,4,0:41:00,Cliente0103,2,tarjeta,4.26
104,42,PIGO910404FMNDED41,5,0:25:00,Cliente0104,9,efectivo,9.71
105,53,OSKC980330BYNOUO94,6,0:40:00,Cliente0105,4,tarjeta,7.02
106,20,AYBK761021GPLCRA42,7,0:53:00,Cliente0106,5,efectivo,7.39
107,63,VASM801119AHGNLA39,8,0:54:00,Cliente0107,9,tarjeta,6.02
108,50,GHCF761019BMCEHI76,9,0:24:00,Cliente0108,5,efectivo,1.15
109,94,BUBM970516FOCMRE84,10,0:18:00,Cliente0109,9,tarjeta,3.81
110,20,MASA790911FCLXEU22,11,0:03:00,Cliente0110,4,efectivo,9.95
111,28,CACH800731MMSZLE85,12,0:08:00,Cliente0111,4,tarjeta,4.35
112,27,MABP780714MMNFRA82,13,0:14:00,Cliente0112,5,efectivo,7.94
113,82,BRBL860509FJCOAY25,14,0:58:00,Cliente0113,5,tarjeta,5.26
114,55,BALS870921MCSUAC68,15,0:52:00,Cliente0114,8,efectivo,4.77
115,41,BABG810617FHGUIA28,16,0:17:00,Cliente0115,7,tarjeta,9.44
116,64,VAPC920826MPLRUO86,17,0:33:00,Cliente0116,8,efectivo,5.56
117,32,SHCJ990110FCHAAU13,18,0:50:00,Cliente0117,1,tarjeta,6.13
118,79,GOFM961107FTCTUO54,19,0:07:00,Cliente0118,1,efectivo,7.51
119,62,VEMC760926FQRNAA13,20,0:47:00,Cliente0119,1,tarjeta,8.37
120,25,INTL800217FSLKIE81,1,0:09:00,Cliente0120,4,efectivo,5.04
121,4,GIHN980222MCMLAI09,2,0:11:00,Cliente0121,5,tarjeta,7.15
122,31,COHJ760326MDFSUU07,3,0:05:00,Cliente0122,5,efectivo,1.97
123,50,DOBL850516BQRNOI91,4,0:57:00,Cliente0123,7,tarjeta,4.75
124,76,LIMD721115MJCMIO09,5,0:31:00,Cliente0124,4,efectivo,1.85
125,12,KILT800801FOCTAI84,6,0:08:00,Cliente0125,10,tarjeta,5.22
126,10,GOFM961107FTCTUO54,7,0:06:00,Cliente0126,4,efectivo,4.4
127,25,GLGL840412FNLAOO81,8,0:20:00,Cliente0127,4,tarjeta,5.94
128,97,FAJJ841022MBSLAU69,9,0:12:00,Cliente0128,3,efectivo,4.02
129,79,DRKR870309MTCOIO34,10,0:11:00,Cliente0129,4,tarjeta,1.43
130,8,KLAL900916FDGEIE04,11,0:32:00,Cliente0130,10,efectivo,7.95
131,63,KUWS910402NNLBEI94,12,0:29:00,Cliente0131,4,tarjeta,8.93
132,84,GHCF761019BMCEHI76,13,0:58:00,Cliente0132,2,efectivo,7.71
133,4,VEMC760926FQRNAA13,14,0:31:00,Cliente0133,1,tarjeta,1.3
134,81,PAAC920419FGTTVO87,15,0:47:00,Cliente0134,3,efectivo,5.28
135,70,ANQS780903FQTDUA20,16,0:27:00,Cliente0135,5,tarjeta,9.83
136,66,HERS800926FCHBUT83,17,0:30:00,Cliente0136,5,efectivo,4.74
137,37,CACH800731MMSZLE85,18,0:14:00,Cliente0137,4,tarjeta,9.75
138,77,HABA820225FTLRIL45,19,0:07:00,Cliente0138,1,efectivo,5.54
139,95,GOFM961107FTCTUO54,20,0:16:00,Cliente0139,4,tarjeta,2.34
140,21,CRFB880126FPLUEA78,1,0:09:00,Cliente0140,5,efectivo,3.5
141,59,THFT841224MQROII59,2,0:08:00,Cliente0141,9,tarjeta,4.98
142,46,GADA911027FHGSIG96,3,0:12:00,Cliente0142,10,efectivo,9.42
143,33,MACK750122MCLCRI37,4,0:30:00,Cliente0143,10,tarjeta,8.93
144,36,WHGD870116FVZAUA72,5,0:43:00,Cliente0144,3,efectivo,3.15
145,70,COGD820217MOCTRO55,6,0:00:00,Cliente0145,4,tarjeta,1.52
146,19,MABP780714MMNFRA82,7,0:22:00,Cliente0146,1,efectivo,4.22
147,15,PAAC920419FGTTVO87,8,0:39:00,Cliente0147,3,tarjeta,6.26
148,97,LOSK880201ATLUAA99,9,0:33:00,Cliente0148,2,efectivo,8.19
149,60,DAJR941016MDGLIA11,10,0:32:00,Cliente0149,2,tarjeta,9.96
150,85,MCAO920101FHGCCL03,11,0:09:00,Cliente0150,2,efectivo,8.89
151,47,KEEC990619MQTHDO55,12,0:58:00,Cliente0151,3,tarjeta,9.86
152,46,GOFM961107FTCTUO54,13,0:18:00,Cliente0152,8,efectivo,3.76
153,7,BETL920711FDGRWA64,14,0:40:00,Cliente0153,8,tarjeta,3.61
154,74,DOBL850516BQRNOI91,15,0:15:00,Cliente0154,9,efectivo,7.02
155,96,PACA700821FGTULN20,16,0:13:00,Cliente0155,6,tarjeta,5.24
156,70,HEMD820611MGTAEU67,17,0:03:00,Cliente0156,3,efectivo,8.27
157,32,VASM801119AHGNLA39,18,0:49:00,Cliente0157,6,tarjeta,6.5
158,5,PACA700821FGTULN20,19,0:08:00,Cliente0158,8,efectivo,5.93
159,32,STWL800319GMCUAO28,20,0:46:00,Cliente0159,4,tarjeta,3.3
160,45,KNBK960914FASOOA45,1,0:00:00,Cliente0160,3,efectivo,7.42
161,83,LEBC850828PSPTLO16,2,0:06:00,Cliente0161,10,tarjeta,1.73
162,1,HERS800926FCHBUT83,3,0:44:00,Cliente0162,4,efectivo,4.54
163,99,GAVF891225FTSDIR46,4,0:48:00,Cliente0163,5,tarjeta,3.77
164,94,MCCS951214FNLCHH80,5,0:01:00,Cliente0164,6,efectivo,5.09
165,92,KLAL900916FDGEIE04,6,0:30:00,Cliente0165,8,tarjeta,9.63
166,64,CEPY851026FNTSRO85,7,0:25:00,Cliente0166,6,efectivo,1.23
167,54,OSKC980330BYNOUO94,8,0:09:00,Cliente0167,9,tarjeta,2.72
168,31,VAJJ860909FJCSIA20,9,0:29:00,Cliente0168,8,efectivo,8.73
169,56,GIHN980222MCMLAI09,10,0:26:00,Cliente0169,2,tarjeta,1.42
170,75,DOBL850516BQRNOI91,11,0:41:00,Cliente0170,2,efectivo,5.98
171,24,NOGE840522MTCRRV12,12,0:17:00,Cliente0171,4,tarjeta,5.77
172,80,BRBL860509FJCOAY25,13,0:58:00,Cliente0172,3,efectivo,3.53
173,21,LEBC850828PSPTLO16,14,0:55:00,Cliente0173,7,tarjeta,2.76
174,90,MAEP901211MGTCNA73,15,0:44:00,Cliente0174,4,efectivo,1.23
175,12,GIHN980222MCMLAI09,16,0:19:00,Cliente0175,4,tarjeta,2.79
176,65,FAIG991004MSPRTE27,17,0:16:00,Cliente0176,2,efectivo,7.97
177,59,GELG970223FGTIEL29,18,0:34:00,Cliente0177,5,tarjeta,7.75
178,36,HINA980519MOCNAD56,19,0:38:00,Cliente0178,5,efectivo,5.49
179,41,CRPA890528MPLAHU58,20,0:00:00,Cliente0179,9,tarjeta,3.23
180,7,NOGE840522MTCRRV12,1,0:35:00,Cliente0180,5,efectivo,8.48
181,71,DOEB820928MDFMNE22,2,0:02:00,Cliente0181,7,tarjeta,7.36
182,24,REMV970310MYNVOA05,3,0:21:00,Cliente0182,7,efectivo,2.77
183,6,AYBK761021GPLCRA42,4,0:50:00,Cliente0183,1,tarjeta,8.41
184,82,DETE720227MMCDRP41,5,0:22:00,Cliente0184,8,efectivo,8.16
185,75,CRPA890528MPLAHU58,6,0:45:00,Cliente0185,2,tarjeta,3.34
186,53,HEMD820611MGTAEU67,7,0:47:00,Cliente0186,8,efectivo,3.32
187,25,VASM801119AHGNLA39,8,0:10:00,Cliente0187,8,tarjeta,5.08
188,26,TRPL890731GDFUEA46,9,0:57:00,Cliente0188,1,efectivo,7.94
189,96,VAJJ860909FJCSIA20,10,0:35:00,Cliente0189,4,tarjeta,1.95
190,98,SHSS960626FGRECI13,11,0:26:00,Cliente0190,8,efectivo,3.01
191,72,DRND851022BTCIIA89,12,0:38:00,Cliente0191,5,tarjeta,4.23
192,29,VEEH800225MCSRRU48,13,0:01:00,Cliente0192,6,efectivo,7.39
193,22,DRND851022BTCIIA89,14,0:47:00,Cliente0193,1,tarjeta,3.16
194,28,MCAO920101FHGCCL03,15,0:17:00,Cliente0194,4,efectivo,2.92
195,68,ALMA830409MSRMAL39,16,0:40:00,Cliente0195,8,tarjeta,9.11
196,62,HUVR861220MTCGEO09,17,0:01:00,Cliente0196,2,efectivo,3.85
197,86,DABR930520MPLRIA38,18,0:17:00,Cliente0197,9,tarjeta,3.36
198,42,TACM870706MVZNRA14,19,0:44:00,Cliente0198,1,efectivo,4.19
199,37,MASA790911FCLXEU22,20,0:29:00,Cliente0199,4,tarjeta,3.97
200,93,NOGE840522MTCRRV12,1,0:08:00,Cliente0200,2,efectivo,2.6
201,62,CACA880301FCHMRU20,2,0:08:00,Cliente0201,10,tarjeta,5.65
202,52,WHGD870116FVZAUA72,3,0:06:00,Cliente0202,8,efectivo,5.59
203,8,STWL800319GMCUAO28,4,0:42:00,Cliente0203,6,tarjeta,4.62
204,85,GOFM961107FTCTUO54,5,0:46:00,Cliente0204,4,efectivo,9.73
205,31,HUPF751231FCMNAE48,6,0:34:00,Cliente0205,5,tarjeta,8.67
206,25,MABP780714MMNFRA82,7,0:34:00,Cliente0206,10,efectivo,8.36
207,38,DRND851022BTCIIA89,8,0:50:00,Cliente0207,7,tarjeta,4.37
208,11,RYHB770516PCCAEE69,9,0:45:00,Cliente0208,8,efectivo,9.23
209,65,MAWA931112FCHRAB49,10,0:55:00,Cliente0209,7,tarjeta,9.27
210,33,OSKC980330BYNOUO94,11,0:48:00,Cliente0210,6,efectivo,8.35
211,68,PIGO910404FMNDED41,12,0:50:00,Cliente0211,6,tarjeta,8.21
212,40,KNBK960914FASOOA45,13,0:32:00,Cliente0212,3,efectivo,1.33
213,93,CHML890621FMSAEU73,14,0:33:00,Cliente0213,6,tarjeta,7.25
214,77,BABG810617FHGUIA28,15,0:39:00,Cliente0214,3,efectivo,4.01
215,54,LOSK880201ATLUAA99,16,0:39:00,Cliente0215,2,tarjeta,6.43
216,41,SMDH870821NDFAUA60,17,0:36:00,Cliente0216,1,efectivo,7.82
217,7,GIWG820104FNLLAE76,18,0:38:00,Cliente0217,8,tarjeta,8.63
218,68,PACA700821FGTULN20,19,0:32:00,Cliente0218,5,efectivo,9.51
219,41,RYHB770516PCCAEE69,20,0:29:00,Cliente0219,3,tarjeta,7.53
220,31,LOSK880201ATLUAA99,1,0:15:00,Cliente0220,2,efectivo,1.56
221,22,MAEP901211MGTCNA73,2,0:38:00,Cliente0221,7,tarjeta,8.83
222,95,CRFB880126FPLUEA78,3,0:20:00,Cliente0222,10,efectivo,4.24
223,70,PRGL701222FMCIII62,4,0:50:00,Cliente0223,5,tarjeta,6.96
224,36,COBI760520MASPAN90,5,0:44:00,Cliente0224,8,efectivo,7.32
225,52,FAJJ841022MBSLAU69,6,0:03:00,Cliente0225,10,tarjeta,4.4
226,7,LEBC850828PSPTLO16,7,0:57:00,Cliente0226,7,efectivo,2.1
227,14,RYHB770516PCCAEE69,8,0:24:00,Cliente0227,10,tarjeta,8.06
228,71,GHCF761019BMCEHI76,9,0:17:00,Cliente0228,4,efectivo,3.1
229,82,HINA980519MOCNAD56,10,0:10:00,Cliente0229,7,tarjeta,3.19
230,6,STHR841219FTLAAA64,11,0:21:00,Cliente0230,9,efectivo,4.73
231,92,CRDW760222FBSIEA91,12,0:28:00,Cliente0231,10,tarjeta,6.38
232,59,SHCJ990110FCHAAU13,13,0:37:00,Cliente0232,7,efectivo,8.36
233,64,HERS800926FCHBUT83,14,0:15:00,Cliente0233,6,tarjeta,5.32
234,99,TACM870706MVZNRA14,15,0:49:00,Cliente0234,6,efectivo,4.74
235,53,GELG970223FGTIEL29,16,0:55:00,Cliente0235,10,tarjeta,2.2
236,5,BUBM970516FOCMRE84,17,0:33:00,Cliente0236,2,efectivo,2.12
237,44,PASR941118MDFCTO81,18,0:24:00,Cliente0237,10,tarjeta,3.64
238,2,DABR930520MPLRIA38,19,0:13:00,Cliente0238,4,efectivo,4.68
239,37,MCAO920101FHGCCL03,20,0:51:00,Cliente0239,9,tarjeta,8.02
240,53,DETE720227MMCDRP41,1,0:35:00,Cliente0240,1,efectivo,5.52
241,52,DABR930520MPLRIA38,2,0:35:00,Cliente0241,3,tarjeta,9.75
242,53,THFT841224MQROII59,3,0:36:00,Cliente0242,8,efectivo,5.31
243,4,NEAG970216FMSWBR17,4,0:30:00,Cliente0243,8,tarjeta,9.93
244,51,TRPL890731GDFUEA46,5,0:45:00,Cliente0244,2,efectivo,6.4
245,24,ALMA830409MSRMAL39,6,0:30:00,Cliente0245,5,tarjeta,1.47
246,59,THFT841224MQROII59,7,0:35:00,Cliente0246,5,efectivo,9.61
247,92,REMV970310MYNVOA05,8,0:07:00,Cliente0247,3,tarjeta,1.35
248,1,HERS800926FCHBUT83,9,0:29:00,Cliente0248,10,efectivo,7.75
249,49,CACA880301FCHMRU20,10,0:47:00,Cliente0249,10,tarjeta,9.4
250,41,DAJR941016MDGLIA11,11,0:40:00,Cliente0250,5,efectivo,4.54
251,31,GIHN980222MCMLAI09,12,0:25:00,Cliente0251,3,tarjeta,9.81
252,52,DABR930520MPLRIA38,13,0:02:00,Cliente0252,5,efectivo,8.84
